key,place_name,admin_name1,latitude,longitude,accuracy
IN/384130,Kahoda,Gujarat,23.5037,72.1241,
IN/384132,Lunva,Gujarat,23.5037,72.1241,
IN/384133,Mandali,Gujarat,23.5037,72.1241,
IN/384140,Kamli,Gujarat,23.5037,72.1241,
IN/384151,Zampli Pole,Gujarat,23.5037,72.1241,
IN/384160,Unava,Gujarat,23.5037,72.1241,
IN/384170,Unjha H O,Gujarat,23.5037,72.1241,
IN/384172,Dasaj,Gujarat,23.5037,72.1241,
IN/384175,Aithor,Gujarat,23.5037,72.1241,
IN/384177,Upera,Gujarat,23.5037,72.1241,
IN/384178,Maktupur,Gujarat,23.5037,72.1241,
IN/384205,Panchot,Gujarat,23.63,71.98,
IN/384206,Palodar,Gujarat,23.63,71.98,
IN/384207,Chhatiarda,Gujarat,23.63,71.98,
IN/384211,Sankhalpur,Gujarat,23.5333,72.0333,4
IN/384213,Kalri,Gujarat,23.5167,72.0667,4
IN/384220,Chanasma,Gujarat,23.7167,72.1167,4
IN/384221,Vadavli,Gujarat,23.7167,72.1167,
IN/384229,Lanva,Gujarat,23.7167,72.1167,
IN/384230,Kamboi,Gujarat,23.63,71.98,
IN/384231,Kalyana,Gujarat,23.63,71.98,
IN/384235,Palasar,Gujarat,23.63,71.98,
IN/384240,Harij,Gujarat,23.7,71.9,4
IN/384242,Lolada,Gujarat,23.6917,71.8417,
IN/384245,Sami,Gujarat,23.6833,71.7833,4
IN/384246,Sankheswar,Gujarat,23.6917,71.8417,
IN/384256,Chandrumana,Gujarat,23.63,71.98,
IN/384257,Adia,Gujarat,23.63,71.98,
IN/384265,Rajkawada,Gujarat,23.63,71.98,
IN/384271,Aghar,Gujarat,23.63,71.98,
IN/384274,Wamaiya,Gujarat,23.63,71.98,
IN/384276,Sander,Gujarat,23.63,71.98,
IN/384277,Sankhari,Gujarat,23.63,71.98,
IN/384285,Wagrod,Gujarat,23.63,71.98,
IN/384290,Kakoshi,Gujarat,23.63,71.98,
IN/384305,Kada,Gujarat,23.7833,72.5667,
IN/384312,Tarabh,Gujarat,23.7833,72.5667,
IN/384320,Umta,Gujarat,23.7833,72.5667,4
